Manually-Verified Phonic Group	peak_frequency	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
HF	56640.0	22.578655979066315	97.0715	97.0763	57265	66149	Pipistrellus pygmaeus	0.022	0.041	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	1	Waveform 1	1
HF	52800.0	20.88464213619642	97.1755	97.1833	55546	63122	Myotis alcathoe	0.01	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	2	Waveform 1	1
HF	48960.0	21.61992618556896	368.7485	368.7589	49531	57048	Pipistrellus pipistrellus	0.023	0.042	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	3	Waveform 1	1
HF	47040.0	21.09761920809643	369.2315	369.2384	46953	56707	Pipistrellus pipistrellus	0.034	0.06	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	4	Waveform 1	1
HF	52800.0	21.06039227861215	1196.7545	1196.7606	51250	59403	Pipistrellus pipistrellus	0.026	0.046	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	5	Waveform 1	1
HF	46080.0	21.593209812715045	1208.5355	1208.541	30625	65903	Myotis brandtii	0.013	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	6	Waveform 1	1
HF	52800.0	23.469226576311897	1209.1125	1209.1188	51250	57817	Pipistrellus pygmaeus	0.015	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	7	Waveform 1	1
HF	52800.0	25.073329350344597	1209.6655	1209.672	50390	58928	Pipistrellus pipistrellus	0.033	0.064	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	8	Waveform 1	1
HF	51840.0	20.13105772231292	1493.2295	1493.2354	51250	59203	Pipistrellus pipistrellus	0.019	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	9	Waveform 1	1
HF	43200.0	21.04001097901749	1493.5625	1493.5688	31484	53643	Myotis brandtii	0.008	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	10	Waveform 1	1
