Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
LF	0.0816333333333333	21750.0	22080.0	4.325132354812345	0.0685	0.0827	22890	27157	Nyctalus leisleri	0.015	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	1	Waveform 1	1
HF	0.0739	21000.0	20160.0	5.142153383116202	0.0725	0.0786	11718	63812	Myotis bechsteinii	0.009	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	2	Waveform 1	1
LF	0.2901999999999999	22500.0	22080.0	2.9819667241355203	0.2855	0.2953	21171	26133	Plecotus austriacus	0.01	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	3	Waveform 1	1
LF	0.4026333333333333	21000.0	21120.0	7.615996044198811	0.3995	0.4062	17734	28032	Plecotus austriacus	0.065	0.091	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	4	Waveform 1	1
LF	0.9022	18750.0	19200.0	12.459551666423966	0.9005	0.9133	17734	24233	Nyctalus noctula	0.028	0.044	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	5	Waveform 1	1
LF	0.9903333333333334	24750.0	24960.0	2.8355305506628703	0.9845	0.9955	24609	30156	Eptesicus serotinus	0.032	0.083	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	6	Waveform 1	1
LF	1.0441666666666665	18750.0	19200.0	3.569314068299134	1.0425	1.0495	14296	25591	Plecotus auritus	0.017	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	7	Waveform 1	1
LF	1.1257	20250.0	19200.0	8.172554795834095	1.1235	1.1358	18593	24007	Nyctalus noctula	0.01	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	8	Waveform 1	1
HF	1.6563000000000003	49500.0	48960.0	2.331437382773852	1.6545	1.6602	47812	56185	Pipistrellus pipistrellus	0.025	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	9	Waveform 1	1
LF	2.2739333333333334	21000.0	21120.0	2.2653113086551984	2.2715	2.2789	16015	25512	Plecotus auritus	0.024	0.041	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	10	Waveform 1	1
LF	2.432366666666667	17250.0	17280.0	5.433548833719417	2.4305	2.4373	13437	25179	Plecotus auritus	0.035	0.043	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	11	Waveform 1	1
HF	2.7961666666666667	48750.0	48960.0	2.1430998166771147	2.7935	2.7995	46093	53707	Pipistrellus pipistrellus	0.093	0.098	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	12	Waveform 1	1
