,SNR_threshold,detection_threshold,num_bd2_detections,num_human_annotations,true_positives,false_positives,false_negatives,true_negatives,precision,recall,input_file_name,site_name
0,0.0,0.01,19441,156,137,19304,19,0,0.00704696260480428,0.8782051282051282,20220730_053000.WAV,Carp Pond
1,0.0,0.02,19133,156,137,18996,19,0,0.007160403491350023,0.8782051282051282,20220730_053000.WAV,Carp Pond
2,0.0,0.03,3219,156,135,3084,21,0,0.04193849021435228,0.8653846153846154,20220730_053000.WAV,Carp Pond
3,0.0,0.04,1150,156,133,1017,23,0,0.11565217391304349,0.8525641025641025,20220730_053000.WAV,Carp Pond
4,0.0,0.05,611,156,131,480,25,0,0.2144026186579378,0.8397435897435898,20220730_053000.WAV,Carp Pond
5,0.0,0.06,422,156,129,293,27,0,0.3056872037914692,0.8269230769230769,20220730_053000.WAV,Carp Pond
6,0.0,0.07,324,156,129,195,27,0,0.39814814814814814,0.8269230769230769,20220730_053000.WAV,Carp Pond
7,0.0,0.08,263,156,129,134,27,0,0.49049429657794674,0.8269230769230769,20220730_053000.WAV,Carp Pond
8,0.0,0.09,222,156,128,94,28,0,0.5765765765765766,0.8205128205128205,20220730_053000.WAV,Carp Pond
9,0.0,0.1,201,156,126,75,30,0,0.6268656716417911,0.8076923076923077,20220730_053000.WAV,Carp Pond
10,0.0,0.11,190,156,126,64,30,0,0.6631578947368421,0.8076923076923077,20220730_053000.WAV,Carp Pond
11,0.0,0.12,178,156,125,53,31,0,0.702247191011236,0.8012820512820513,20220730_053000.WAV,Carp Pond
12,0.0,0.13,167,156,125,42,31,0,0.7485029940119761,0.8012820512820513,20220730_053000.WAV,Carp Pond
13,0.0,0.14,156,156,125,31,31,0,0.8012820512820513,0.8012820512820513,20220730_053000.WAV,Carp Pond
14,0.0,0.15,152,156,124,28,32,0,0.8157894736842105,0.7948717948717948,20220730_053000.WAV,Carp Pond
15,0.0,0.16,149,156,124,25,32,0,0.8322147651006712,0.7948717948717948,20220730_053000.WAV,Carp Pond
16,0.0,0.17,144,156,122,22,34,0,0.8472222222222222,0.782051282051282,20220730_053000.WAV,Carp Pond
17,0.0,0.18,142,156,120,22,36,0,0.8450704225352113,0.7692307692307693,20220730_053000.WAV,Carp Pond
18,0.0,0.19,138,156,118,20,38,0,0.855072463768116,0.7564102564102564,20220730_053000.WAV,Carp Pond
19,0.0,0.2,134,156,118,16,38,0,0.8805970149253731,0.7564102564102564,20220730_053000.WAV,Carp Pond
20,0.0,0.21,130,156,116,14,40,0,0.8923076923076924,0.7435897435897436,20220730_053000.WAV,Carp Pond
21,0.0,0.22,125,156,114,11,42,0,0.912,0.7307692307692307,20220730_053000.WAV,Carp Pond
22,0.0,0.23,123,156,113,10,43,0,0.9186991869918699,0.7243589743589743,20220730_053000.WAV,Carp Pond
23,0.0,0.24,121,156,111,10,45,0,0.9173553719008265,0.7115384615384616,20220730_053000.WAV,Carp Pond
24,0.0,0.25,120,156,111,9,45,0,0.925,0.7115384615384616,20220730_053000.WAV,Carp Pond
25,0.0,0.26,117,156,108,9,48,0,0.9230769230769231,0.6923076923076923,20220730_053000.WAV,Carp Pond
26,0.0,0.27,116,156,107,9,49,0,0.9224137931034483,0.6858974358974359,20220730_053000.WAV,Carp Pond
27,0.0,0.28,115,156,106,9,50,0,0.9217391304347826,0.6794871794871795,20220730_053000.WAV,Carp Pond
28,0.0,0.29,114,156,106,8,50,0,0.9298245614035088,0.6794871794871795,20220730_053000.WAV,Carp Pond
29,0.0,0.3,113,156,105,8,51,0,0.9292035398230089,0.6730769230769231,20220730_053000.WAV,Carp Pond
30,0.0,0.31,111,156,105,6,51,0,0.9459459459459459,0.6730769230769231,20220730_053000.WAV,Carp Pond
31,0.0,0.32,108,156,102,6,54,0,0.9444444444444444,0.6538461538461539,20220730_053000.WAV,Carp Pond
32,0.0,0.33,106,156,100,6,56,0,0.9433962264150944,0.6410256410256411,20220730_053000.WAV,Carp Pond
33,0.0,0.34,104,156,99,5,57,0,0.9519230769230769,0.6346153846153846,20220730_053000.WAV,Carp Pond
34,0.0,0.35,103,156,98,5,58,0,0.9514563106796117,0.6282051282051282,20220730_053000.WAV,Carp Pond
35,0.0,0.36,101,156,96,5,60,0,0.9504950495049505,0.6153846153846154,20220730_053000.WAV,Carp Pond
36,0.0,0.37,99,156,94,5,62,0,0.9494949494949495,0.6025641025641025,20220730_053000.WAV,Carp Pond
37,0.0,0.38,96,156,93,3,63,0,0.96875,0.5961538461538461,20220730_053000.WAV,Carp Pond
38,0.0,0.39,94,156,91,3,65,0,0.9680851063829787,0.5833333333333334,20220730_053000.WAV,Carp Pond
39,0.0,0.4,91,156,88,3,68,0,0.967032967032967,0.5641025641025641,20220730_053000.WAV,Carp Pond
40,0.0,0.41,89,156,86,3,70,0,0.9662921348314607,0.5512820512820513,20220730_053000.WAV,Carp Pond
41,0.0,0.42,89,156,86,3,70,0,0.9662921348314607,0.5512820512820513,20220730_053000.WAV,Carp Pond
42,0.0,0.43,89,156,86,3,70,0,0.9662921348314607,0.5512820512820513,20220730_053000.WAV,Carp Pond
43,0.0,0.44,84,156,82,2,74,0,0.9761904761904762,0.5256410256410257,20220730_053000.WAV,Carp Pond
44,0.0,0.45,81,156,79,2,77,0,0.9753086419753086,0.5064102564102564,20220730_053000.WAV,Carp Pond
45,0.0,0.46,80,156,78,2,78,0,0.975,0.5,20220730_053000.WAV,Carp Pond
