Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
HF	0.0018333333333333	50250.0	48960.0	1.8666913290375131	0.0015	0.0099	47812	51961	Pipistrellus pipistrellus	0.029	0.035	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	1	Waveform 1	1
LF	0.0816333333333333	21750.0	22080.0	4.325132354812345	0.0685	0.0827	22890	27157	Nyctalus leisleri	0.015	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	2	Waveform 1	1
HF	0.103	78000.0	72960.0	0.0304605381390418	0.0805	0.1215	68437	83068	Rhinolophus ferrumequinum	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	3	Waveform 1	1
LF	0.1263333333333333	27750.0	24960.0	0.0676042533303276	0.1225	0.132	25468	33966	Eptesicus serotinus	0.01	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	4	Waveform 1	1
HF	0.2504666666666666	74250.0	72000.0	0.3014958189535093	0.2355	0.2747	68437	81583	Rhinolophus ferrumequinum	0.025	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	5	Waveform 1	1
LF	0.2901999999999999	22500.0	22080.0	2.9819667241355203	0.2855	0.2953	21171	26133	Plecotus austriacus	0.01	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	6	Waveform 1	1
LF	0.3376	21750.0	23040.0	0.8479893622869562	0.3305	0.3414	22890	27497	Nyctalus leisleri	0.012	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	7	Waveform 1	1
LF	0.3717333333333333	23250.0	23040.0	0.9073320497966756	0.3655	0.3761	23750	29303	Nyctalus leisleri	0.011	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	8	Waveform 1	1
LF	0.4026333333333333	21000.0	21120.0	7.615996044198811	0.3995	0.4062	17734	28032	Plecotus austriacus	0.065	0.091	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	9	Waveform 1	1
LF	0.5278999999999999	23250.0	23040.0	1.3738656640659952	0.5175	0.5286	23750	28672	Nyctalus leisleri	0.011	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	10	Waveform 1	1
HF	0.5391333333333332	80250.0	73920.0	0.1277756536472972	0.5385	0.5792	68437	83037	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	11	Waveform 1	1
LF	0.5554333333333333	27000.0	26880.000000000004	0.3539739666686043	0.5505	0.5589	26328	36246	Eptesicus serotinus	0.009	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	12	Waveform 1	1
HF	0.5824333333333332	78000.0	72000.0	0.0581351123715657	0.5585	0.5934	68437	81505	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	13	Waveform 1	1
LF	0.5685333333333333	28500.0	29760.0	-0.0254485031283836	0.5595	0.5708	28906	35976	Eptesicus serotinus	0.011	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	14	Waveform 1	1
LF	0.6402999999999999	30750.0	29760.0	0.8454154425342709	0.6385	0.6477	28046	39711	Eptesicus serotinus	0.01	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	15	Waveform 1	1
LF	0.6546333333333333	24750.0	24000.0	1.4065899393199224	0.6475	0.6572	24609	30541	Nyctalus leisleri	0.01	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	16	Waveform 1	1
HF	0.7049666666666666	44250.0	46080.0	1.801121383689386	0.7015	0.7102	43515	50479	Pipistrellus pipistrellus	0.034	0.041	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	17	Waveform 1	1
