Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
HF	1.7329	47250.0	47040.0	3.5704216337162094	1.7295	1.7371	46953	51351	Pipistrellus pipistrellus	0.388	0.428	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	1	Waveform 1	1
HF	3.773733333333334	46500.0	46080.0	6.879404199032511	3.7705	3.7771	45234	54096	Pipistrellus pipistrellus	0.466	0.512	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	2	Waveform 1	1
HF	3.914266666666667	47250.0	46080.0	8.649871245924555	3.9105	3.9154	45234	59565	Pipistrellus pipistrellus	0.266	0.355	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	3	Waveform 1	1
HF	4.0455	52500.0	48000.0	2.673958169047056	4.0445	4.051	46953	53999	Pipistrellus pipistrellus	0.046	0.048	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	4	Waveform 1	1
HF	4.166333333333332	48000.0	48000.0	3.4636463658013983	4.1625	4.1685	45234	59329	Pipistrellus pipistrellus	0.218	0.312	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	5	Waveform 1	1
HF	4.3105	48000.0	47040.0	10.101822210113143	4.3085	4.314	46093	59238	Pipistrellus pipistrellus	0.512	0.542	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	6	Waveform 1	1
HF	4.444933333333332	52500.0	51840.0	8.891129956720473	4.4415	4.4479	52109	59097	Pipistrellus pipistrellus	0.02	0.037	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	7	Waveform 1	1
HF	4.576766666666667	48750.0	48960.0	12.421702178090792	4.5735	4.5789	44375	59685	Pipistrellus pipistrellus	0.324	0.446	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	8	Waveform 1	1
HF	4.710766666666665	51750.0	51840.0	12.128914408508468	4.7075	4.7129	45234	65641	Pipistrellus pipistrellus	0.284	0.408	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	9	Waveform 1	1
HF	4.8527	54000.0	53760.00000000001	16.070444925845464	4.8505	4.8558	45234	62030	Pipistrellus pipistrellus	0.427	0.524	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	10	Waveform 1	1
