start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file
323.2125,323.2189,43515.0,49875.0,0.553,Echolocation,20230617_043000.WAV
323.6605,323.6685,41796.0,47353.0,0.521,Echolocation,20230617_043000.WAV
323.7505,323.7574,42656.0,54044.0,0.544,Echolocation,20230617_043000.WAV
323.9335,323.9403,41796.0,52361.0,0.628,Echolocation,20230617_043000.WAV
324.0285,324.0365,40937.0,47763.0,0.587,Echolocation,20230617_043000.WAV
324.20550000000003,324.2115,41796.0,51248.0,0.617,Echolocation,20230617_043000.WAV
324.2995,324.3075,40937.0,50315.0,0.61,Echolocation,20230617_043000.WAV
324.3915,324.3982,41796.0,59758.0,0.6,Echolocation,20230617_043000.WAV
324.4845,324.4921,41796.0,51073.0,0.654,Echolocation,20230617_043000.WAV
324.5755,324.5821,40937.0,47209.0,0.583,Echolocation,20230617_043000.WAV
325.0045,325.0116,41796.0,56186.0,0.513,Echolocation,20230617_043000.WAV
325.1565,325.1625,42656.0,55737.0,0.54,Echolocation,20230617_043000.WAV
327.1015,327.1093,42656.0,50316.0,0.54,Echolocation,20230617_043000.WAV
327.1935,327.2017,41796.0,47296.0,0.536,Echolocation,20230617_043000.WAV
327.2855,327.2917,40937.0,51522.0,0.575,Echolocation,20230617_043000.WAV
327.5625,327.5703,41796.0,52525.0,0.661,Echolocation,20230617_043000.WAV
327.8405,327.8464,40937.0,52580.0,0.543,Echolocation,20230617_043000.WAV
327.9325,327.9406,40937.0,47759.0,0.574,Echolocation,20230617_043000.WAV
380.0255,380.0388,26328.0,30343.0,0.573,Echolocation,20230617_043000.WAV
441.1545,441.1669,26328.0,31512.0,0.527,Echolocation,20230617_043000.WAV
441.3785,441.3915,25468.0,31458.0,0.615,Echolocation,20230617_043000.WAV
721.4215,721.4288,41796.0,47821.0,0.514,Echolocation,20230617_043000.WAV
721.6885,721.6962,43515.0,50259.0,0.566,Echolocation,20230617_043000.WAV
721.7835,721.79,41796.0,48891.0,0.578,Echolocation,20230617_043000.WAV
721.8725,721.8797,41796.0,48608.0,0.572,Echolocation,20230617_043000.WAV
721.9545,721.9618,41796.0,49359.0,0.62,Echolocation,20230617_043000.WAV
722.0475,722.0553,41796.0,52899.0,0.599,Echolocation,20230617_043000.WAV
722.1385,722.1457,42656.0,51121.0,0.611,Echolocation,20230617_043000.WAV
722.3065,722.3146,41796.0,54410.0,0.68,Echolocation,20230617_043000.WAV
722.3955,722.4026,40937.0,51697.0,0.659,Echolocation,20230617_043000.WAV
722.4855,722.4927,41796.0,49297.0,0.607,Echolocation,20230617_043000.WAV
722.5715,722.5787,41796.0,56530.0,0.67,Echolocation,20230617_043000.WAV
722.6635,722.6706,41796.0,57721.0,0.624,Echolocation,20230617_043000.WAV
722.7525,722.7604,42656.0,54425.0,0.58,Echolocation,20230617_043000.WAV
