start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
603.1075,603.1145,44375.0,57167.0,Echolocation,Pipistrellus pipistrellus,0.411,0.575,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
603.1725,603.1814,42656.0,58073.0,Echolocation,Pipistrellus pipistrellus,0.234,0.533,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
775.8175,775.8334,23750.0,28535.0,Echolocation,Nyctalus leisleri,0.408,0.554,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
782.9735,782.9896,22890.0,27412.0,Echolocation,Nyctalus leisleri,0.566,0.654,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
783.2435,783.2615,22031.0,26822.0,Echolocation,Nyctalus leisleri,0.438,0.591,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
783.4145,783.4283,22890.0,28047.0,Echolocation,Nyctalus leisleri,0.345,0.513,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
783.6985,783.7159,22031.0,28055.0,Echolocation,Nyctalus leisleri,0.251,0.58,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
784.1195,784.1361,22890.0,26770.0,Echolocation,Nyctalus leisleri,0.48,0.571,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
784.6585,784.6754,22890.0,25173.0,Echolocation,Nyctalus leisleri,0.491,0.516,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
790.0935,790.1007,41796.0,50483.0,Echolocation,Pipistrellus nathusii,0.46,0.522,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
790.3065,790.3141,40937.0,48653.0,Echolocation,Pipistrellus nathusii,0.46,0.55,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
790.9635,790.9705,40937.0,48781.0,Echolocation,Pipistrellus nathusii,0.477,0.535,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
792.0365,792.0434,41796.0,52621.0,Echolocation,Pipistrellus nathusii,0.525,0.563,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
792.1945,792.2026,43515.0,59965.0,Echolocation,Pipistrellus nathusii,0.33,0.506,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
792.3905,792.3974,41796.0,55373.0,Echolocation,Pipistrellus nathusii,0.458,0.555,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
792.4785,792.4858,41796.0,58958.0,Echolocation,Pipistrellus nathusii,0.378,0.516,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
792.5755,792.5815,41796.0,60837.0,Echolocation,Pipistrellus nathusii,0.507,0.547,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
792.6705,792.6781,40937.0,62040.0,Echolocation,Pipistrellus nathusii,0.536,0.621,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
792.7645,792.7722,40078.0,60939.0,Echolocation,Pipistrellus nathusii,0.556,0.621,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
792.8515,792.8589,40937.0,63410.0,Echolocation,Pipistrellus nathusii,0.464,0.577,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
792.9445,792.9534,40937.0,56404.0,Echolocation,Pipistrellus nathusii,0.571,0.608,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
793.0525,793.0604,40937.0,61949.0,Echolocation,Pipistrellus nathusii,0.469,0.534,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
793.1375,793.1456,40937.0,56075.0,Echolocation,Pipistrellus nathusii,0.455,0.52,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
793.2225,793.2293,41796.0,60311.0,Echolocation,Pipistrellus nathusii,0.53,0.567,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
793.3115,793.3189,41796.0,60331.0,Echolocation,Pipistrellus nathusii,0.495,0.548,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
850.7355,850.744,40937.0,53579.0,Echolocation,Pipistrellus nathusii,0.473,0.529,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
