start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
856.6785,856.6967,22890.0,25253.0,Echolocation,Nyctalus leisleri,0.542,0.561,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_030000.WAV,recover-20230830,UBNA_008,Central Pond
691.3765,691.3887,25468.0,31658.0,Echolocation,Nyctalus leisleri,0.386,0.633,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
691.6875,691.701,24609.0,30582.0,Echolocation,Nyctalus leisleri,0.294,0.587,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
691.8475,691.8602,25468.0,30174.0,Echolocation,Nyctalus leisleri,0.436,0.59,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
692.1035,692.115,24609.0,30405.0,Echolocation,Nyctalus leisleri,0.357,0.604,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
693.0995,693.1136,24609.0,29516.0,Echolocation,Nyctalus leisleri,0.315,0.501,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
693.4705,693.4857,24609.0,30261.0,Echolocation,Nyctalus leisleri,0.256,0.52,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
863.4014999999999,863.4110000000001,25468.0,34370.0,Echolocation,Eptesicus serotinus,0.378,0.594,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
863.8575,863.8671,25468.0,33734.0,Echolocation,Eptesicus serotinus,0.328,0.574,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
864.1625,864.1737,24609.0,30268.0,Echolocation,Nyctalus leisleri,0.395,0.555,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
864.3275,864.3383,24609.0,30606.0,Echolocation,Nyctalus leisleri,0.374,0.572,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
864.4765,864.4875,25468.0,32145.0,Echolocation,Nyctalus leisleri,0.315,0.638,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
864.6435,864.6531,25468.0,32017.0,Echolocation,Nyctalus leisleri,0.254,0.571,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
864.8455,864.8581,24609.0,30665.0,Echolocation,Nyctalus leisleri,0.354,0.608,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
864.9845,864.9945,25468.0,31529.0,Echolocation,Nyctalus leisleri,0.413,0.588,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
865.1475,865.1576,25468.0,33472.0,Echolocation,Nyctalus leisleri,0.389,0.673,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
865.3185,865.3291,25468.0,32928.0,Echolocation,Eptesicus serotinus,0.321,0.604,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
865.5465,865.5583,25468.0,31274.0,Echolocation,Nyctalus leisleri,0.363,0.604,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
865.6985,865.7091,26328.0,34896.0,Echolocation,Eptesicus serotinus,0.355,0.65,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
865.8525,865.8652,25468.0,36674.0,Echolocation,Eptesicus serotinus,0.426,0.614,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
866.0045,866.0177,25468.0,31275.0,Echolocation,Nyctalus leisleri,0.284,0.529,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
866.2655,866.276,24609.0,33654.0,Echolocation,Eptesicus serotinus,0.305,0.631,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
866.4115,866.4253,24609.0,30773.0,Echolocation,Nyctalus leisleri,0.316,0.572,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
866.5455,866.5578,25468.0,32543.0,Echolocation,Eptesicus serotinus,0.28,0.546,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
866.6735,866.684,25468.0,33672.0,Echolocation,Eptesicus serotinus,0.343,0.535,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
866.9715,866.9826,25468.0,32716.0,Echolocation,Nyctalus leisleri,0.432,0.697,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
867.1305,867.1411,24609.0,30621.0,Echolocation,Nyctalus leisleri,0.37,0.548,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
867.3245,867.3359,24609.0,29448.0,Echolocation,Nyctalus leisleri,0.33,0.516,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
869.7775,869.7909,25468.0,29836.0,Echolocation,Nyctalus leisleri,0.432,0.591,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
887.1575,887.1729,23750.0,28095.0,Echolocation,Nyctalus leisleri,0.427,0.558,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
887.6425,887.6644,22890.0,29056.0,Echolocation,Nyctalus noctula,0.253,0.513,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
887.8915,887.9058,23750.0,28300.0,Echolocation,Nyctalus leisleri,0.319,0.527,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
