start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
237.7235,237.7279,20312.0,83904.0,Echolocation,Myotis nattereri,0.549,0.567,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_020000.WAV,recover-20240613,UBNA_012,Telephone Field
68.62049999999999,68.6345,23750.0,28924.0,Echolocation,Nyctalus leisleri,0.43,0.554,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_021000.WAV,recover-20240613,UBNA_012,Telephone Field
39.0985,39.1037,22031.0,85359.0,Echolocation,Myotis nattereri,0.482,0.522,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_022000.WAV,recover-20240613,UBNA_012,Telephone Field
54.1105,54.114999999999995,17734.0,84802.0,Echolocation,Myotis nattereri,0.498,0.512,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_022000.WAV,recover-20240613,UBNA_012,Telephone Field
69.6285,69.6333,26328.0,66116.0,Echolocation,Myotis daubentonii,0.299,0.644,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_022000.WAV,recover-20240613,UBNA_012,Telephone Field
77.84049999999999,77.8452,25468.0,57632.0,Echolocation,Myotis nattereri,0.331,0.577,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_022000.WAV,recover-20240613,UBNA_012,Telephone Field
190.4565,190.4601,24609.0,55773.0,Echolocation,Myotis nattereri,0.468,0.516,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_022000.WAV,recover-20240613,UBNA_012,Telephone Field
255.7785,255.7827,22890.0,68450.0,Echolocation,Myotis nattereri,0.471,0.521,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_022000.WAV,recover-20240613,UBNA_012,Telephone Field
278.0235,278.0283,22031.0,64604.0,Echolocation,Myotis nattereri,0.488,0.535,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_022000.WAV,recover-20240613,UBNA_012,Telephone Field
292.0395,292.0434,21171.0,77073.0,Echolocation,Myotis nattereri,0.541,0.564,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_022000.WAV,recover-20240613,UBNA_012,Telephone Field
294.4175,294.423,22890.0,77621.0,Echolocation,Myotis nattereri,0.542,0.562,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_022000.WAV,recover-20240613,UBNA_012,Telephone Field
295.7795,295.785,22031.0,77110.0,Echolocation,Myotis nattereri,0.599,0.616,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_022000.WAV,recover-20240613,UBNA_012,Telephone Field
299.0425,299.0462,23750.0,72983.0,Echolocation,Myotis nattereri,0.476,0.508,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_022000.WAV,recover-20240613,UBNA_012,Telephone Field
203.8145,203.8187,26328.0,60905.0,Echolocation,Myotis nattereri,0.36,0.506,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_023000.WAV,recover-20240613,UBNA_012,Telephone Field
254.6565,254.66140000000001,21171.0,80097.0,Echolocation,Myotis nattereri,0.546,0.565,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_023000.WAV,recover-20240613,UBNA_012,Telephone Field
283.6105,283.6164,20312.0,77777.0,Echolocation,Myotis nattereri,0.497,0.514,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_023000.WAV,recover-20240613,UBNA_012,Telephone Field
298.79449999999997,298.7989,22031.0,60111.0,Echolocation,Myotis nattereri,0.442,0.507,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_023000.WAV,recover-20240613,UBNA_012,Telephone Field
57.6125,57.6169,21171.0,60575.0,Echolocation,Myotis nattereri,0.442,0.504,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_024000.WAV,recover-20240613,UBNA_012,Telephone Field
7.2625,7.2672,19453.0,94048.0,Echolocation,Myotis nattereri,0.505,0.516,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_025000.WAV,recover-20240613,UBNA_012,Telephone Field
14.6895,14.6931,18593.0,71825.0,Echolocation,Myotis nattereri,0.561,0.592,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_025000.WAV,recover-20240613,UBNA_012,Telephone Field
19.1325,19.1441,64140.0,68737.0,Echolocation,Pipistrellus pygmaeus,0.522,0.525,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_025000.WAV,recover-20240613,UBNA_012,Telephone Field
26.3985,26.403,20312.0,86321.0,Echolocation,Myotis nattereri,0.543,0.569,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_025000.WAV,recover-20240613,UBNA_012,Telephone Field
53.1565,53.161100000000005,22890.0,88930.0,Echolocation,Myotis nattereri,0.511,0.575,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_025000.WAV,recover-20240613,UBNA_012,Telephone Field
59.2665,59.2713,18593.0,87217.0,Echolocation,Myotis nattereri,0.556,0.567,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_025000.WAV,recover-20240613,UBNA_012,Telephone Field
201.3985,201.4145,16875.0,20988.0,Echolocation,Nyctalus noctula,0.324,0.53,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_041000.WAV,recover-20240613,UBNA_012,Telephone Field
209.8325,209.8479,16875.0,22366.0,Echolocation,Nyctalus noctula,0.457,0.584,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_041000.WAV,recover-20240613,UBNA_012,Telephone Field
238.0785,238.0925,16015.0,21349.0,Echolocation,Nyctalus noctula,0.37,0.515,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_041000.WAV,recover-20240613,UBNA_012,Telephone Field
246.4865,246.5031,15156.0,20447.0,Echolocation,Nyctalus noctula,0.293,0.505,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_041000.WAV,recover-20240613,UBNA_012,Telephone Field
250.4525,250.4681,16015.0,21136.0,Echolocation,Nyctalus noctula,0.383,0.526,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_041000.WAV,recover-20240613,UBNA_012,Telephone Field
273.1525,273.1677,22890.0,26431.0,Echolocation,Nyctalus leisleri,0.639,0.659,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_041000.WAV,recover-20240613,UBNA_012,Telephone Field
1.2835,1.2939,28046.0,33890.0,Echolocation,Nyctalus leisleri,0.254,0.554,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
10.5915,10.603,27187.0,32525.0,Echolocation,Nyctalus leisleri,0.354,0.554,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
26.8775,26.8887,28046.0,39393.0,Echolocation,Eptesicus serotinus,0.474,0.551,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
27.1205,27.1304,27187.0,44746.0,Echolocation,Eptesicus serotinus,0.494,0.569,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
27.2615,27.2678,26328.0,53227.0,Echolocation,Eptesicus serotinus,0.564,0.656,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
27.3905,27.3981,26328.0,50454.0,Echolocation,Eptesicus serotinus,0.604,0.685,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
27.5295,27.5377,24609.0,57264.0,Echolocation,Eptesicus serotinus,0.615,0.675,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
27.6555,27.6628,26328.0,51446.0,Echolocation,Eptesicus serotinus,0.589,0.66,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
27.8035,27.8139,25468.0,50562.0,Echolocation,Eptesicus serotinus,0.633,0.726,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
27.9415,27.9511,25468.0,49694.0,Echolocation,Eptesicus serotinus,0.584,0.733,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
28.1965,28.2062,24609.0,47263.0,Echolocation,Eptesicus serotinus,0.55,0.709,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
28.3315,28.3427,25468.0,45431.0,Echolocation,Eptesicus serotinus,0.533,0.66,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
28.5765,28.5842,24609.0,47066.0,Echolocation,Eptesicus serotinus,0.459,0.708,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
28.7235,28.7315,25468.0,36805.0,Echolocation,Eptesicus serotinus,0.533,0.657,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
28.8845,28.8932,25468.0,45120.0,Echolocation,Eptesicus serotinus,0.478,0.709,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
29.0215,29.0298,25468.0,38337.0,Echolocation,Eptesicus serotinus,0.496,0.699,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
29.1675,29.1773,24609.0,44542.0,Echolocation,Eptesicus serotinus,0.345,0.683,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
29.3085,29.3176,25468.0,34530.0,Echolocation,Eptesicus serotinus,0.312,0.624,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
29.4565,29.4652,25468.0,41611.0,Echolocation,Nyctalus leisleri,0.44,0.714,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
29.5795,29.5905,25468.0,43559.0,Echolocation,Eptesicus serotinus,0.325,0.701,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
29.6925,29.7016,27187.0,35348.0,Echolocation,Nyctalus leisleri,0.295,0.602,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
29.8165,29.8261,25468.0,42448.0,Echolocation,Nyctalus leisleri,0.405,0.739,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
29.9415,29.9498,26328.0,34961.0,Echolocation,Nyctalus leisleri,0.318,0.639,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
30.1955,30.204,25468.0,37138.0,Echolocation,Nyctalus leisleri,0.51,0.741,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
30.3505,30.3574,25468.0,35727.0,Echolocation,Eptesicus serotinus,0.344,0.594,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
30.4895,30.4969,26328.0,34767.0,Echolocation,Nyctalus leisleri,0.383,0.651,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
30.6345,30.6429,25468.0,33675.0,Echolocation,Nyctalus leisleri,0.342,0.656,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
30.7665,30.7742,26328.0,33993.0,Echolocation,Eptesicus serotinus,0.256,0.549,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
30.9065,30.915,25468.0,34816.0,Echolocation,Eptesicus serotinus,0.321,0.609,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
31.0365,31.0437,26328.0,34143.0,Echolocation,Eptesicus serotinus,0.251,0.546,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
57.3405,57.351,27187.0,32385.0,Echolocation,Nyctalus leisleri,0.241,0.518,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
80.9205,80.9295,28046.0,35238.0,Echolocation,Nyctalus leisleri,0.371,0.618,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
81.0335,81.0419,28906.0,35952.0,Echolocation,Nyctalus leisleri,0.421,0.656,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
81.1545,81.1637,28046.0,34460.0,Echolocation,Nyctalus leisleri,0.533,0.703,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
81.2755,81.28450000000001,28046.0,34246.0,Echolocation,Nyctalus leisleri,0.359,0.547,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
81.3985,81.4065,28046.0,35541.0,Echolocation,Nyctalus leisleri,0.542,0.721,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
81.5125,81.5217,28046.0,34942.0,Echolocation,Nyctalus leisleri,0.347,0.593,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
81.6385,81.64750000000001,27187.0,38603.0,Echolocation,Nyctalus leisleri,0.606,0.758,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
81.75450000000001,81.763,28046.0,36398.0,Echolocation,Nyctalus leisleri,0.44,0.712,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
81.8515,81.86,28046.0,34824.0,Echolocation,Nyctalus leisleri,0.388,0.577,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
82.1725,82.1815,28906.0,35349.0,Echolocation,Nyctalus leisleri,0.366,0.574,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
82.3205,82.32900000000001,28906.0,36593.0,Echolocation,Nyctalus leisleri,0.482,0.665,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
82.4465,82.4558,28046.0,36403.0,Echolocation,Nyctalus leisleri,0.431,0.669,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
82.5665,82.5748,28046.0,35363.0,Echolocation,Nyctalus leisleri,0.48,0.673,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
82.6815,82.6884,28046.0,37739.0,Echolocation,Nyctalus leisleri,0.572,0.727,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
82.8045,82.8127,28046.0,34831.0,Echolocation,Nyctalus leisleri,0.3,0.572,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
82.9315,82.9415,28046.0,36938.0,Echolocation,Nyctalus leisleri,0.524,0.712,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
83.0535,83.0641,28046.0,34275.0,Echolocation,Nyctalus leisleri,0.319,0.558,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
83.6635,83.6726,27187.0,33815.0,Echolocation,Nyctalus leisleri,0.31,0.535,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
84.2985,84.3083,27187.0,32907.0,Echolocation,Nyctalus leisleri,0.276,0.542,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
125.8525,125.8643,26328.0,31953.0,Echolocation,Nyctalus leisleri,0.379,0.603,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
243.5915,243.5958,28046.0,38999.0,Echolocation,Eptesicus serotinus,0.292,0.555,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
243.7165,243.7214,27187.0,39170.0,Echolocation,Eptesicus serotinus,0.296,0.568,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
244.1165,244.121,26328.0,38691.0,Echolocation,Plecotus auritus,0.314,0.657,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
244.2805,244.2858,27187.0,39220.0,Echolocation,Eptesicus serotinus,0.529,0.672,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
244.4145,244.4194,28046.0,40210.0,Echolocation,Eptesicus serotinus,0.242,0.544,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
244.5505,244.5544,27187.0,40055.0,Echolocation,Plecotus auritus,0.375,0.636,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
244.7595,244.7638,27187.0,40130.0,Echolocation,Plecotus auritus,0.394,0.543,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
244.8185,244.8227,26328.0,44399.0,Echolocation,Plecotus auritus,0.434,0.612,-1,/mnt/ubna_data_04/recover-20240613/UBNA_012/20240608_044000.WAV,recover-20240613,UBNA_012,Telephone Field
