start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
15.8035,15.8147,44375.0,49200.0,Pipistrellus pipistrellus,0.503,0.523,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
17.8005,17.8115,44375.0,48289.0,Pipistrellus pipistrellus,0.506,0.522,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
19.7945,19.806,45234.0,48454.0,Pipistrellus pipistrellus,0.428,0.504,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
23.7865,23.7974,45234.0,49010.0,Pipistrellus pipistrellus,0.491,0.52,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
25.7815,25.7923,45234.0,48744.0,Pipistrellus pipistrellus,0.505,0.572,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
27.7775,27.7891,44375.0,48661.0,Pipistrellus pipistrellus,0.478,0.506,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
31.7695,31.7796,44375.0,48628.0,Pipistrellus pipistrellus,0.546,0.573,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
35.2445,35.2552,44375.0,48304.0,Pipistrellus pipistrellus,0.453,0.51,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
35.7605,35.769,45234.0,49781.0,Pipistrellus pipistrellus,0.535,0.595,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
36.7415,36.7509,44375.0,48951.0,Pipistrellus pipistrellus,0.476,0.513,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
37.7565,37.769,44375.0,48071.0,Pipistrellus pipistrellus,0.43,0.503,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
38.7545,38.766999999999996,43515.0,47089.0,Pipistrellus pipistrellus,0.404,0.535,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
39.7525,39.7624,45234.0,48986.0,Pipistrellus pipistrellus,0.465,0.535,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
42.2475,42.2618,43515.0,46946.0,Pipistrellus pipistrellus,0.363,0.529,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
43.7445,43.7549,45234.0,48939.0,Pipistrellus pipistrellus,0.463,0.575,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
49.7325,49.743300000000005,45234.0,48851.0,Pipistrellus pipistrellus,0.482,0.541,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
50.2315,50.2451,43515.0,46409.0,Pipistrellus nathusii,0.241,0.511,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
54.2235,54.2393,43515.0,46312.0,Pipistrellus pipistrellus,0.393,0.509,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
55.7205,55.7309,45234.0,48676.0,Pipistrellus pipistrellus,0.416,0.504,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
57.7175,57.7268,45234.0,48678.0,Pipistrellus pipistrellus,0.462,0.538,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
58.216499999999996,58.2291,43515.0,47401.0,Pipistrellus pipistrellus,0.401,0.541,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
59.713499999999996,59.7232,44375.0,48831.0,Pipistrellus pipistrellus,0.526,0.582,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
61.7095,61.7193,45234.0,48792.0,Pipistrellus pipistrellus,0.49,0.542,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
63.7055,63.7162,44375.0,48926.0,Pipistrellus pipistrellus,0.495,0.533,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
65.7005,65.7096,45234.0,50341.0,Pipistrellus pipistrellus,0.535,0.587,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
71.6915,71.7035,44375.0,48523.0,Pipistrellus pipistrellus,0.479,0.502,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
73.6875,73.6979,45234.0,48494.0,Pipistrellus pipistrellus,0.468,0.516,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
77.6805,77.6915,44375.0,48553.0,Pipistrellus pipistrellus,0.554,0.576,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
79.6605,79.67150000000001,44375.0,48299.0,Pipistrellus pipistrellus,0.455,0.513,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
79.6765,79.6872,45234.0,48631.0,Pipistrellus pipistrellus,0.48,0.545,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
83.6685,83.6789,45234.0,50200.0,Pipistrellus pipistrellus,0.505,0.56,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
86.1665,86.1814,43515.0,46380.0,Pipistrellus pipistrellus,0.365,0.521,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
86.6645,86.6775,43515.0,46562.0,Pipistrellus pipistrellus,0.445,0.558,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
89.65950000000001,89.6705,45234.0,49005.0,Pipistrellus pipistrellus,0.484,0.519,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
92.1565,92.1698,43515.0,45589.0,Pipistrellus pipistrellus,0.396,0.521,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
93.6525,93.663,45234.0,48451.0,Pipistrellus pipistrellus,0.455,0.513,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
99.6435,99.6547,45234.0,48918.0,Pipistrellus pipistrellus,0.476,0.523,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
103.6375,103.64789999999999,45234.0,48265.0,Pipistrellus pipistrellus,0.446,0.519,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
105.6345,105.6469,44375.0,48275.0,Pipistrellus pipistrellus,0.482,0.547,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
106.6315,106.6448,43515.0,46903.0,Pipistrellus pipistrellus,0.386,0.538,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
107.6315,107.6449,44375.0,47756.0,Pipistrellus pipistrellus,0.274,0.525,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
109.6285,109.6401,44375.0,48150.0,Pipistrellus pipistrellus,0.527,0.549,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
111.6255,111.6369,44375.0,48325.0,Pipistrellus pipistrellus,0.55,0.575,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
112.6235,112.6378,42656.0,46109.0,Pipistrellus pipistrellus,0.342,0.511,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
113.6215,113.6347,44375.0,47866.0,Pipistrellus pipistrellus,0.34,0.516,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
119.6135,119.6238,45234.0,48338.0,Pipistrellus pipistrellus,0.477,0.574,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
125.6045,125.6162,45234.0,48113.0,Pipistrellus pipistrellus,0.493,0.575,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
128.6005,128.6142,43515.0,46043.0,Pipistrellus pipistrellus,0.424,0.539,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
