KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,47040.0,5.5741040533369866,67.5615,67.5662,46093.0,58209.0,Pipistrellus pipistrellus,0.558,0.6,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240813_035000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,48960.0,5.193573464975017,213.3775,213.3849,46953.0,55420.0,Pipistrellus pipistrellus,0.499,0.542,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240818_125000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,51840.0,7.195825729126707,270.5375,270.5425,50390.0,60199.0,Pipistrellus pipistrellus,0.528,0.559,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240818_070000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,52800.0,13.807855543059656,196.95850000000002,196.9641,47812.0,68920.0,Pipistrellus pipistrellus,0.356,0.56,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240817_082000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,54720.0,7.112569681386923,190.5635,190.5672,46953.0,61068.0,Pipistrellus pipistrellus,0.474,0.543,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240820_115000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,48000.0,7.743557820424066,1.1575,1.1631,46953.0,53553.0,Pipistrellus pipistrellus,0.548,0.576,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240818_125000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,48000.0,7.114951635696986,253.1275,253.1323,45234.0,61281.0,Pipistrellus pipistrellus,0.448,0.529,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240820_101000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,46080.0,7.331651385055387,244.5275,244.5345,41796.0,50076.0,Pipistrellus nathusii,0.551,0.621,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240814_072000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,48960.0,8.99451136151706,213.0815,213.0853,41796.0,64847.0,Myotis mystacinus,0.248,0.569,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240819_114000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,46080.0,31.261843239803085,90.6425,90.6487,41796.0,65667.0,Pipistrellus pipistrellus,0.296,0.516,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240814_075000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,56640.0,10.824224209800452,101.4995,101.5031,50390.0,64173.0,Pipistrellus pipistrellus,0.458,0.526,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240817_084000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,52800.0,8.683452713973717,270.5135,270.5198,47812.0,63927.0,Pipistrellus pipistrellus,0.449,0.55,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240820_101000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,47040.0,5.1890614718625105,39.3655,39.3703,46093.0,56555.0,Pipistrellus pipistrellus,0.495,0.528,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240816_084000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,48000.0,6.278491950177807,76.3115,76.3198,46953.0,54148.0,Pipistrellus pipistrellus,0.536,0.567,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240814_082000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,48000.0,3.32971956908199,157.9695,157.9763,47812.0,57246.0,Pipistrellus pipistrellus,0.523,0.556,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240817_084000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,47040.0,5.330554658629016,0.1325,0.1392,46953.0,55470.0,Pipistrellus pipistrellus,0.525,0.532,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240820_102000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,48960.0,19.360693996176263,122.3395,122.3448,46093.0,66512.0,Pipistrellus pipistrellus,0.446,0.572,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240820_112000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,52800.0,12.647065747101465,198.1015,198.1057,50390.0,65126.0,Pipistrellus pipistrellus,0.467,0.528,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240819_114000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,51840.0,15.200090114456017,0.0275,0.0323,47812.0,65499.0,Pipistrellus pipistrellus,0.496,0.558,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240818_064000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,48960.0,16.517733614791307,9.8225,9.827,43515.0,75042.0,Myotis alcathoe,0.39,0.516,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240820_054000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,47040.0,10.67091265133119,120.1545,120.1614,46093.0,54309.0,Pipistrellus pipistrellus,0.473,0.518,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240820_115000.WAV,recover-20240820,UBNA_009,Telephone Field
HF,50880.0,7.877924103407905,5.1625,5.169,48671.0,65317.0,Pipistrellus pipistrellus,0.375,0.564,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20240820/UBNA_009/20240816_080000.WAV,recover-20240820,UBNA_009,Telephone Field
