KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,65280.0,-0.06231995179927994,26.1985,26.2071,58125.0,68449.0,Pipistrellus pygmaeus,0.274,0.34,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250724/UBNA_022/20250721_200000.WAV,recover-20250724,UBNA_022,E18 Bridge
HF,65280.0,-2.224725020179035,48.2825,48.2963,62421.0,67504.0,Pipistrellus pygmaeus,0.129,0.309,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250724/UBNA_022/20250721_200000.WAV,recover-20250724,UBNA_022,E18 Bridge
HF,65280.0,1.8601381654246263,56.786500000000004,56.803799999999995,62421.0,67488.0,Pipistrellus pipistrellus,0.254,0.376,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250724/UBNA_022/20250721_200000.WAV,recover-20250724,UBNA_022,E18 Bridge
HF,42240.0,0.5423692217408291,61.8765,61.8882,43515.0,50825.0,Pipistrellus pipistrellus,0.217,0.356,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250724/UBNA_022/20250721_200000.WAV,recover-20250724,UBNA_022,E18 Bridge
HF,65280.0,-0.7885073930074731,94.6625,94.6713,63281.0,68333.0,Pipistrellus pygmaeus,0.454,0.463,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250724/UBNA_022/20250721_200000.WAV,recover-20250724,UBNA_022,E18 Bridge
HF,65280.0,0.5963851746748734,114.7775,114.7925,63281.0,67672.0,Pipistrellus pygmaeus,0.442,0.446,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250724/UBNA_022/20250721_200000.WAV,recover-20250724,UBNA_022,E18 Bridge
HF,65280.0,1.7581174279327083,115.4405,115.457,64140.0,71583.0,Pipistrellus pygmaeus,0.207,0.363,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250724/UBNA_022/20250721_200000.WAV,recover-20250724,UBNA_022,E18 Bridge
HF,65280.0,0.8118369947960744,124.4875,124.4977,62421.0,67079.0,Pipistrellus pygmaeus,0.397,0.402,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250724/UBNA_022/20250721_200000.WAV,recover-20250724,UBNA_022,E18 Bridge
LF,25920.0,10.828584114167787,158.1615,158.174,25468.0,31869.0,Nyctalus leisleri,0.24,0.365,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250724/UBNA_022/20250721_200000.WAV,recover-20250724,UBNA_022,E18 Bridge
HF,44160.0,-11.743363853447637,288.5275,288.5323,23750.0,67039.0,Myotis nattereri,0.318,0.354,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250724/UBNA_022/20250721_201000.WAV,recover-20250724,UBNA_022,E18 Bridge
