KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,23040.0,18.649236228663522,1.0295,1.0476,22890.0,25095.0,Nyctalus leisleri,0.471,0.492,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_212000.WAV,recover-20250821,UBNA_022,Foliage
LF,23040.0,2.626736789478082,1.4855,1.499,22890.0,26369.0,Nyctalus leisleri,0.429,0.461,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_212000.WAV,recover-20250821,UBNA_022,Foliage
HF,65280.0,-2.6644347719293995,15.4845,15.5045,63281.0,67333.0,Pipistrellus pygmaeus,0.32,0.327,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_212000.WAV,recover-20250821,UBNA_022,Foliage
HF,65280.0,6.8647171954378265,16.0335,16.057,56406.0,64286.0,Rhinolophus ferrumequinum,0.18,0.328,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_212000.WAV,recover-20250821,UBNA_022,Foliage
HF,65280.0,-2.876536582668235,90.2835,90.3023,63281.0,67755.0,Pipistrellus pygmaeus,0.33,0.335,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_212000.WAV,recover-20250821,UBNA_022,Foliage
LF,31680.0,1.325731776566457,3.8415,3.8612,30625.0,33233.0,Nyctalus leisleri,0.225,0.32,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_215000.WAV,recover-20250821,UBNA_022,Foliage
HF,43200.0,3.057038779378397,28.5365,28.544,43515.0,46924.0,Pipistrellus pipistrellus,0.391,0.42,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_215000.WAV,recover-20250821,UBNA_022,Foliage
LF,24000.0,4.540103087122713,54.7855,54.7983,23750.0,28559.0,Nyctalus leisleri,0.43,0.478,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_215000.WAV,recover-20250821,UBNA_022,Foliage
LF,24000.0,10.161012450691826,59.2545,59.2654,22890.0,26274.0,Nyctalus leisleri,0.325,0.341,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_215000.WAV,recover-20250821,UBNA_022,Foliage
LF,24000.0,12.436469859256887,62.1635,62.178399999999996,23750.0,27691.0,Nyctalus leisleri,0.268,0.356,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_215000.WAV,recover-20250821,UBNA_022,Foliage
