KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,65280.0,-2.2783434157407703,8.5005,8.5197,64140.0,68885.0,Pipistrellus pygmaeus,0.29,0.303,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,45120.0,5.1761662699408575,46.8805,46.897,44375.0,47781.0,Pipistrellus pipistrellus,0.263,0.31,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,50880.0,-1.2663313335778048,57.832499999999996,57.8422,47812.0,52138.0,Pipistrellus pipistrellus,0.29,0.333,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,56640.0,3.233768802992328,63.4525,63.4686,55546.0,58242.0,Pipistrellus pygmaeus,0.317,0.342,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,6.818221092818982,74.39750000000001,74.4141,65000.0,70832.0,Pipistrellus pygmaeus,0.29,0.304,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,0.7001708850150203,84.1525,84.1597,58984.0,66827.0,Pipistrellus pygmaeus,0.416,0.43,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,45120.0,-5.457283351188624,89.5645,89.5778,44375.0,47589.0,Pipistrellus pipistrellus,0.271,0.339,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,16.379131703034087,100.98949999999999,101.0034,65000.0,71683.0,Pipistrellus pygmaeus,0.327,0.331,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,23040.0,2.9361620603405254,104.4725,104.4896,22890.0,26233.0,Nyctalus leisleri,0.25,0.309,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,60480.0,3.605373978623834,110.15950000000001,110.16550000000001,55546.0,59609.0,Pipistrellus pygmaeus,0.321,0.327,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,23040.0,3.9362061494727625,112.7715,112.78829999999999,22890.0,26567.0,Nyctalus leisleri,0.344,0.4,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,60480.0,2.8352775160845844,116.8575,116.86959999999999,56406.0,61244.0,Pipistrellus pygmaeus,0.337,0.351,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,23040.0,7.340200385687863,135.1585,135.1718,22890.0,27607.0,Nyctalus leisleri,0.321,0.445,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,48000.0,6.553613478266272,135.5005,135.5174,44375.0,48469.0,Pipistrellus pipistrellus,0.225,0.313,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,24000.0,0.7162768218296424,135.9205,135.9367,22890.0,26412.0,Nyctalus leisleri,0.283,0.361,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,46080.0,1.631362171514759,179.4015,179.4142,45234.0,48541.0,Pipistrellus pipistrellus,0.232,0.317,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,23040.0,4.048653047542673,237.0345,237.05270000000002,20312.0,25244.0,Nyctalus noctula,0.148,0.319,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,24000.0,2.7105449758411213,245.6115,245.6255,23750.0,27248.0,Nyctalus leisleri,0.214,0.305,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,0.5056088605577921,248.5285,248.5445,62421.0,67415.0,Pipistrellus pygmaeus,0.256,0.363,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,46080.0,3.7947757111979596,280.0975,280.1068,45234.0,51940.0,Pipistrellus pipistrellus,0.368,0.421,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,47040.0,0.35915397441545804,282.0325,282.044,46953.0,50797.0,Pipistrellus pipistrellus,0.273,0.308,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,1.1301853903828225,288.8095,288.8246,62421.0,68993.0,Pipistrellus pipistrellus,0.171,0.333,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_233000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,43200.0,2.697271976382975,28.0205,28.0348,42656.0,45492.0,Pipistrellus pipistrellus,0.268,0.35,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_234000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,22080.0,0.1595087162144472,30.5485,30.5674,22031.0,25451.0,Nyctalus leisleri,0.244,0.308,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_234000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,22080.0,17.43531687769818,148.7495,148.7644,22031.0,24237.0,Nyctalus leisleri,0.434,0.446,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_234000.WAV,recover-20251126,UBNA_033,Carp Pond
