KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,65280.0,1.4571670515841415,36.2885,36.2948,60703.0,65031.0,Echolocation,Pipistrellus pygmaeus,0.409,0.422,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,0.27781223649738124,43.2595,43.271100000000004,57265.0,63975.0,Echolocation,Pipistrellus pygmaeus,0.307,0.352,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,0.6707208978838979,43.3795,43.391999999999996,58125.0,65087.0,Echolocation,Pipistrellus pipistrellus,0.163,0.322,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,-0.12505526934224145,80.7865,80.7937,59843.0,63931.0,Echolocation,Pipistrellus pygmaeus,0.346,0.36,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,0.6900283306980742,82.0925,82.1007,58984.0,64510.0,Echolocation,Pipistrellus pygmaeus,0.326,0.365,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,-0.18154249147139548,83.7145,83.7281,63281.0,66692.0,Echolocation,Pipistrellus pygmaeus,0.311,0.328,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,0.5578710714688485,97.1625,97.1747,57265.0,65366.0,Echolocation,Pipistrellus pygmaeus,0.295,0.34,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,-0.9517829310226047,97.7085,97.7189,59843.0,64934.0,Echolocation,Pipistrellus pipistrellus,0.256,0.485,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,3.585920566776511,101.7035,101.7148,59843.0,64466.0,Echolocation,Pipistrellus pipistrellus,0.176,0.328,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,1.6211788131899438,102.2025,102.211,59843.0,64740.0,Echolocation,Pipistrellus pipistrellus,0.277,0.479,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,4.533279175202041,102.2435,102.252,58984.0,65638.0,Echolocation,Pipistrellus pipistrellus,0.223,0.454,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,2.055492473317092,102.3405,102.3524,59843.0,65314.0,Echolocation,Pipistrellus pipistrellus,0.264,0.431,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,1.1449302405823607,111.5975,111.6094,58125.0,63292.0,Echolocation,Pipistrellus pygmaeus,0.268,0.311,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
LF,23040.0,8.082036366159318,125.9375,125.9551,22890.0,25950.0,Echolocation,Nyctalus leisleri,0.412,0.445,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,4.005043286199744,146.0095,146.0209,59843.0,64271.0,Echolocation,Pipistrellus pygmaeus,0.33,0.351,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,42240.0,-1.2812300496382014,148.9055,148.9148,43515.0,47499.0,Echolocation,Pipistrellus nathusii,0.195,0.327,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
LF,23040.0,-4.134119260702073,151.8705,151.8879,22890.0,25444.0,Echolocation,Nyctalus leisleri,0.303,0.33,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,46080.0,4.085342509815668,152.2535,152.2622,44375.0,51826.0,Echolocation,Pipistrellus pipistrellus,0.301,0.425,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
LF,23040.0,1.3659602386630514,160.7945,160.8114,22890.0,25986.0,Echolocation,Nyctalus leisleri,0.338,0.404,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,62400.0,8.347893979717657,167.2045,167.2172,62421.0,67496.0,Echolocation,Pipistrellus pygmaeus,0.472,0.482,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
HF,65280.0,12.310532988301992,169.8235,169.8392,65000.0,71528.0,Echolocation,Pipistrellus pygmaeus,0.334,0.343,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
LF,23040.0,5.331497974083814,210.6395,210.6605,22890.0,26375.0,Echolocation,Nyctalus leisleri,0.32,0.372,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
LF,28800.0,-0.6914290842338451,214.6905,214.7054,22890.0,27075.0,Echolocation,Nyctalus leisleri,0.314,0.407,-1,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_028/20251113_233000.WAV,recover-20251126,UBNA_028,E18 Bridge
