KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,24000.0,-0.4973529172626126,15.4865,15.5047,22031.0,25508.0,Nyctalus leisleri,0.401,0.464,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260122/UBNA_029/20260108_203000.WAV,recover-20260122,UBNA_029,Telephone Field
HF,48000.0,3.9544439029088547,34.5495,34.5598,46953.0,50578.0,Pipistrellus pipistrellus,0.451,0.528,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260122/UBNA_029/20260108_203000.WAV,recover-20260122,UBNA_029,Telephone Field
HF,48000.0,1.3398132600611872,34.6065,34.6175,47812.0,51902.0,Pipistrellus pipistrellus,0.267,0.304,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260122/UBNA_029/20260108_203000.WAV,recover-20260122,UBNA_029,Telephone Field
HF,60480.0,1.826540579300742,40.7565,40.7682,58984.0,63241.0,Pipistrellus pygmaeus,0.35,0.397,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260122/UBNA_029/20260108_203000.WAV,recover-20260122,UBNA_029,Telephone Field
HF,45120.0,1.5343533260721784,42.3975,42.4186,44375.0,47935.0,Pipistrellus pipistrellus,0.24,0.304,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260122/UBNA_029/20260108_203000.WAV,recover-20260122,UBNA_029,Telephone Field
HF,45120.0,1.174547876933104,44.8765,44.8935,44375.0,47901.0,Pipistrellus pipistrellus,0.255,0.351,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260122/UBNA_029/20260108_203000.WAV,recover-20260122,UBNA_029,Telephone Field
HF,45120.0,2.5499003982259567,45.3765,45.3947,43515.0,47353.0,Pipistrellus pipistrellus,0.288,0.362,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260122/UBNA_029/20260108_203000.WAV,recover-20260122,UBNA_029,Telephone Field
HF,65280.0,-1.2864413737319003,46.408500000000004,46.4243,58984.0,63858.0,Pipistrellus pipistrellus,0.227,0.316,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260122/UBNA_029/20260108_203000.WAV,recover-20260122,UBNA_029,Telephone Field
HF,45120.0,2.3139970557140495,57.2725,57.292,44375.0,47583.0,Pipistrellus pipistrellus,0.316,0.377,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260122/UBNA_029/20260108_203000.WAV,recover-20260122,UBNA_029,Telephone Field
LF,25920.0,2.8507166321400224,65.6375,65.6576,25468.0,28172.0,Nyctalus leisleri,0.284,0.332,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260122/UBNA_029/20260108_203000.WAV,recover-20260122,UBNA_029,Telephone Field
