KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,48960.0,8.769287783999172,148.2975,148.309,47812.0,51771.0,Echolocation,Pipistrellus pipistrellus,0.26,0.311,-1,192000.0,/mnt/ubna_data_07/recover-20260205/UBNA_027/20260130_215000.WAV,recover-20260205,UBNA_027,Central Pond
HF,51840.0,3.272804913865995,219.2125,219.2181,47812.0,56808.0,Echolocation,Pipistrellus pipistrellus,0.3,0.313,-1,192000.0,/mnt/ubna_data_07/recover-20260205/UBNA_027/20260130_215000.WAV,recover-20260205,UBNA_027,Central Pond
HF,49920.0,4.801223309646148,222.4385,222.4444,46953.0,55265.0,Echolocation,Pipistrellus pipistrellus,0.281,0.349,-1,192000.0,/mnt/ubna_data_07/recover-20260205/UBNA_027/20260130_215000.WAV,recover-20260205,UBNA_027,Central Pond
HF,51840.0,4.927087992109675,222.7845,222.7901,48671.0,55336.0,Echolocation,Pipistrellus pipistrellus,0.321,0.332,-1,192000.0,/mnt/ubna_data_07/recover-20260205/UBNA_027/20260130_215000.WAV,recover-20260205,UBNA_027,Central Pond
HF,50880.0,4.062499768332732,222.9275,222.934,47812.0,54619.0,Echolocation,Pipistrellus pipistrellus,0.288,0.305,-1,192000.0,/mnt/ubna_data_07/recover-20260205/UBNA_027/20260130_215000.WAV,recover-20260205,UBNA_027,Central Pond
HF,49920.0,4.608821677235209,225.9765,225.98329999999999,48671.0,55038.0,Echolocation,Pipistrellus pipistrellus,0.427,0.437,-1,192000.0,/mnt/ubna_data_07/recover-20260205/UBNA_027/20260130_215000.WAV,recover-20260205,UBNA_027,Central Pond
HF,49920.0,4.582344183335129,226.9915,226.9969,47812.0,58960.0,Echolocation,Pipistrellus pipistrellus,0.276,0.322,-1,192000.0,/mnt/ubna_data_07/recover-20260205/UBNA_027/20260130_215000.WAV,recover-20260205,UBNA_027,Central Pond
HF,49920.0,5.731199146116256,227.2955,227.3011,48671.0,55236.0,Echolocation,Pipistrellus pipistrellus,0.284,0.317,-1,192000.0,/mnt/ubna_data_07/recover-20260205/UBNA_027/20260130_215000.WAV,recover-20260205,UBNA_027,Central Pond
HF,49920.0,6.205184314978047,227.4775,227.4827,48671.0,55888.0,Echolocation,Pipistrellus pipistrellus,0.357,0.374,-1,192000.0,/mnt/ubna_data_07/recover-20260205/UBNA_027/20260130_215000.WAV,recover-20260205,UBNA_027,Central Pond
HF,49920.0,4.159387801330107,227.6455,227.6515,49531.0,54993.0,Echolocation,Pipistrellus pipistrellus,0.327,0.35,-1,192000.0,/mnt/ubna_data_07/recover-20260205/UBNA_027/20260130_215000.WAV,recover-20260205,UBNA_027,Central Pond
HF,49920.0,5.022525059093582,227.9605,227.9659,48671.0,55850.0,Echolocation,Pipistrellus pipistrellus,0.428,0.445,-1,192000.0,/mnt/ubna_data_07/recover-20260205/UBNA_027/20260130_215000.WAV,recover-20260205,UBNA_027,Central Pond
