KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,66240.0,5.951008664467539,238.8395,238.852,64140.0,70184.0,Echolocation,Pipistrellus pygmaeus,0.406,0.41,-1,192000.0,/mnt/ubna_data_07/recover-20260219/UBNA_022/20260205_204000.WAV,recover-20260219,UBNA_022,Carp Pond
LF,23040.0,7.400333998909194,41.0665,41.083600000000004,22890.0,25231.0,Echolocation,Nyctalus leisleri,0.292,0.321,-1,192000.0,/mnt/ubna_data_07/recover-20260219/UBNA_022/20260205_205000.WAV,recover-20260219,UBNA_022,Carp Pond
LF,23040.0,8.35515266362565,42.1175,42.1311,22890.0,25475.0,Echolocation,Nyctalus leisleri,0.317,0.344,-1,192000.0,/mnt/ubna_data_07/recover-20260219/UBNA_022/20260205_205000.WAV,recover-20260219,UBNA_022,Carp Pond
LF,17280.0,23.86184045644828,118.2435,118.25710000000001,11718.0,19594.0,Echolocation,Nyctalus leisleri,0.237,0.384,-1,192000.0,/mnt/ubna_data_07/recover-20260219/UBNA_022/20260205_224000.WAV,recover-20260219,UBNA_022,Carp Pond
LF,16320.0,10.983293789184883,202.5075,202.5336,16015.0,19215.0,Echolocation,Nyctalus noctula,0.25,0.33,-1,192000.0,/mnt/ubna_data_07/recover-20260219/UBNA_022/20260205_232000.WAV,recover-20260219,UBNA_022,Carp Pond
LF,21120.0,2.1711387467621965,55.933499999999995,55.951499999999996,20312.0,23655.0,Echolocation,Nyctalus leisleri,0.253,0.454,-1,192000.0,/mnt/ubna_data_07/recover-20260219/UBNA_022/20260206_002000.WAV,recover-20260219,UBNA_022,Carp Pond
HF,47040.0,4.0274678155156876,6.1605,6.1654,40937.0,51634.0,Echolocation,Myotis daubentonii,0.123,0.344,-1,192000.0,/mnt/ubna_data_07/recover-20260219/UBNA_022/20260206_020000.WAV,recover-20260219,UBNA_022,Carp Pond
HF,46080.0,4.137807029783195,6.3215,6.3287,44375.0,48439.0,Echolocation,Pipistrellus pipistrellus,0.132,0.324,-1,192000.0,/mnt/ubna_data_07/recover-20260219/UBNA_022/20260206_020000.WAV,recover-20260219,UBNA_022,Carp Pond
HF,45120.0,7.449232433151663,6.5155,6.5228,42656.0,49261.0,Echolocation,Pipistrellus nathusii,0.171,0.342,-1,192000.0,/mnt/ubna_data_07/recover-20260219/UBNA_022/20260206_020000.WAV,recover-20260219,UBNA_022,Carp Pond
HF,45120.0,2.792711926859953,6.6175,6.6244,43515.0,51662.0,Echolocation,Pipistrellus nathusii,0.11,0.327,-1,192000.0,/mnt/ubna_data_07/recover-20260219/UBNA_022/20260206_020000.WAV,recover-20260219,UBNA_022,Carp Pond
HF,45120.0,3.4341934146390916,11.0875,11.0925,38359.0,49895.0,Echolocation,Myotis daubentonii,0.223,0.34,-1,192000.0,/mnt/ubna_data_07/recover-20260219/UBNA_022/20260206_020000.WAV,recover-20260219,UBNA_022,Carp Pond
