KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,48960.0,16.030518818825993,55.6475,55.6623,48671.0,51640.0,Echolocation,Pipistrellus pipistrellus,0.263,0.341,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_203000.WAV,recover-20260318,UBNA_022,E18 Bridge
HF,42240.0,6.648014937927157,78.0085,78.0115,34921.0,51662.0,Echolocation,Myotis daubentonii,0.19,0.307,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_203000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,14.139190800941266,83.7385,83.7495,25468.0,30758.0,Echolocation,Nyctalus leisleri,0.258,0.302,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_203000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,22080.0,2.3999427108383657,17.3015,17.3219,21171.0,24562.0,Echolocation,Nyctalus leisleri,0.176,0.314,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_204000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,21120.0,20.483438959987158,87.4565,87.4708,20312.0,22956.0,Echolocation,Nyctalus leisleri,0.374,0.398,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_204000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,16.959333594691348,10.3495,10.3654,25468.0,28595.0,Echolocation,Nyctalus leisleri,0.255,0.3,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,12.706834269766556,10.6835,10.698,25468.0,29272.0,Echolocation,Nyctalus leisleri,0.265,0.333,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,13.034169641408258,18.7475,18.7605,25468.0,30254.0,Echolocation,Nyctalus leisleri,0.365,0.417,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,13.87418834107471,19.7935,19.8062,25468.0,29798.0,Echolocation,Nyctalus leisleri,0.287,0.384,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
HF,48960.0,9.579476712197986,34.6445,34.6619,48671.0,51621.0,Echolocation,Pipistrellus pipistrellus,0.196,0.335,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,9.82592649683262,35.7965,35.8129,25468.0,28334.0,Echolocation,Nyctalus leisleri,0.273,0.319,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,14.423926895123946,53.9105,53.9246,25468.0,30127.0,Echolocation,Nyctalus leisleri,0.285,0.338,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,11.789054130196826,54.674499999999995,54.6937,24609.0,28327.0,Echolocation,Nyctalus leisleri,0.231,0.348,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,5.748786439804611,57.0275,57.040800000000004,24609.0,28634.0,Echolocation,Nyctalus leisleri,0.307,0.376,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,-0.14994079706311642,67.23949999999999,67.2579,25468.0,29059.0,Echolocation,Nyctalus leisleri,0.266,0.351,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,7.79709132249447,72.0945,72.1098,24609.0,29158.0,Echolocation,Nyctalus leisleri,0.151,0.305,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,8.551936985153452,77.6165,77.63210000000001,25468.0,28419.0,Echolocation,Nyctalus leisleri,0.262,0.313,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,19.0604892934449,90.4785,90.4938,25468.0,29235.0,Echolocation,Nyctalus leisleri,0.327,0.398,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,11.955175978634873,92.2425,92.2555,25468.0,28735.0,Echolocation,Nyctalus leisleri,0.314,0.357,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,29760.0,6.145154503018807,102.0025,102.0065,26328.0,40039.0,Echolocation,Plecotus austriacus,0.225,0.469,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
HF,48960.0,9.765916637464569,116.5085,116.5205,48671.0,52141.0,Echolocation,Pipistrellus pipistrellus,0.196,0.313,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,4.089117969827213,121.4945,121.5069,25468.0,29885.0,Echolocation,Nyctalus leisleri,0.278,0.34,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,9.497222478374406,122.9515,122.9644,25468.0,28987.0,Echolocation,Nyctalus leisleri,0.276,0.322,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,5.658208167277817,125.0285,125.0482,25468.0,28367.0,Echolocation,Nyctalus leisleri,0.268,0.316,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,21.66968401841779,125.5805,125.5953,25468.0,28862.0,Echolocation,Nyctalus leisleri,0.314,0.362,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,11.038330945803425,127.0075,127.0241,25468.0,29013.0,Echolocation,Nyctalus leisleri,0.313,0.38,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,22.663426992658536,132.2045,132.2171,25468.0,29881.0,Echolocation,Nyctalus leisleri,0.29,0.358,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,10.970009929440291,135.4155,135.4291,25468.0,28764.0,Echolocation,Nyctalus leisleri,0.454,0.491,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,9.7626887110881,139.0705,139.085,25468.0,28537.0,Echolocation,Nyctalus leisleri,0.285,0.324,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,1.8686031085287325,140.8195,140.8331,25468.0,29771.0,Echolocation,Nyctalus leisleri,0.213,0.328,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,5.641334286421075,146.0565,146.0699,25468.0,28570.0,Echolocation,Nyctalus leisleri,0.308,0.347,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,9.703677459665528,146.3995,146.4132,25468.0,29414.0,Echolocation,Nyctalus leisleri,0.358,0.407,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,15.803535664624555,148.8755,148.8893,25468.0,29222.0,Echolocation,Nyctalus leisleri,0.376,0.42,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
