KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,48960.0,9.624167961304346,13.3835,13.3989,47812.0,51756.0,Pipistrellus pipistrellus,0.231,0.307,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_190000.WAV,recover-20260420,UBNA_026,Foliage
HF,48960.0,19.711060384408363,63.0425,63.0533,48671.0,51262.0,Pipistrellus pipistrellus,0.208,0.302,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_190000.WAV,recover-20260420,UBNA_026,Foliage
HF,48960.0,13.808611840329608,69.4125,69.4275,47812.0,51200.0,Pipistrellus pipistrellus,0.262,0.327,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_190000.WAV,recover-20260420,UBNA_026,Foliage
LF,23040.0,11.586767039751509,7.3375,7.3522,22890.0,25733.0,Nyctalus leisleri,0.462,0.486,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_191000.WAV,recover-20260420,UBNA_026,Foliage
HF,48960.0,10.571524434174117,23.7675,23.7846,47812.0,51749.0,Pipistrellus pipistrellus,0.331,0.381,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_192000.WAV,recover-20260420,UBNA_026,Foliage
LF,25920.0,2.8285134633903315,78.5455,78.5626,25468.0,28821.0,Nyctalus leisleri,0.228,0.316,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_192000.WAV,recover-20260420,UBNA_026,Foliage
HF,48960.0,21.119773271859618,186.2465,186.2639,47812.0,51940.0,Pipistrellus pipistrellus,0.328,0.354,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_192000.WAV,recover-20260420,UBNA_026,Foliage
HF,48960.0,8.928708088704376,187.0875,187.1022,47812.0,50173.0,Pipistrellus pipistrellus,0.342,0.391,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_192000.WAV,recover-20260420,UBNA_026,Foliage
HF,48960.0,4.386590437817292,195.9185,195.9328,47812.0,50992.0,Pipistrellus pipistrellus,0.333,0.409,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_192000.WAV,recover-20260420,UBNA_026,Foliage
LF,25920.0,30.90896240360741,255.1895,255.2018,25468.0,30509.0,Nyctalus leisleri,0.254,0.315,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_192000.WAV,recover-20260420,UBNA_026,Foliage
LF,25920.0,3.3120427775339927,265.8755,265.891,25468.0,28810.0,Nyctalus leisleri,0.327,0.402,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_192000.WAV,recover-20260420,UBNA_026,Foliage
LF,25920.0,10.128968935647663,280.2895,280.3038,25468.0,29150.0,Nyctalus leisleri,0.286,0.322,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_192000.WAV,recover-20260420,UBNA_026,Foliage
LF,25920.0,10.202024036978134,28.4715,28.4867,25468.0,28938.0,Nyctalus leisleri,0.325,0.365,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_193000.WAV,recover-20260420,UBNA_026,Foliage
HF,48960.0,-0.540299008138967,30.6615,30.6755,48671.0,51125.0,Pipistrellus pipistrellus,0.228,0.37,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_193000.WAV,recover-20260420,UBNA_026,Foliage
HF,48960.0,8.543797886033415,59.6085,59.6215,48671.0,50762.0,Pipistrellus pipistrellus,0.297,0.373,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_193000.WAV,recover-20260420,UBNA_026,Foliage
HF,48960.0,9.19843137766366,161.3825,161.3961,47812.0,50228.0,Pipistrellus pipistrellus,0.224,0.31,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_193000.WAV,recover-20260420,UBNA_026,Foliage
HF,48960.0,11.703728748103153,229.0205,229.0312,48671.0,51038.0,Pipistrellus pipistrellus,0.285,0.34,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260420/UBNA_026/20260413_193000.WAV,recover-20260420,UBNA_026,Foliage
