date_and_time_UTC,callrate,LFcallrate,HFcallrate
2026-04-20 19:30:00+00:00,0.2,0.2,0.0
2026-04-20 19:40:00+00:00,0.0,0.0,0.0
2026-04-20 19:50:00+00:00,1.6,1.0,0.6
2026-04-20 20:00:00+00:00,0.2,0.2,0.0
2026-04-20 20:10:00+00:00,0.0,0.0,0.0
2026-04-20 20:20:00+00:00,0.0,0.0,0.0
2026-04-20 20:30:00+00:00,0.0,0.0,0.0
2026-04-20 20:40:00+00:00,0.0,0.0,0.0
2026-04-20 20:50:00+00:00,0.0,0.0,0.0
2026-04-20 21:00:00+00:00,1.4,1.4,0.0
2026-04-20 21:10:00+00:00,0.0,0.0,0.0
2026-04-20 21:20:00+00:00,0.0,0.0,0.0
2026-04-20 21:30:00+00:00,0.0,0.0,0.0
2026-04-20 21:40:00+00:00,0.0,0.0,0.0
2026-04-20 21:50:00+00:00,0.0,0.0,0.0
2026-04-20 22:00:00+00:00,0.0,0.0,0.0
2026-04-20 22:10:00+00:00,0.0,0.0,0.0
2026-04-20 22:20:00+00:00,0.0,0.0,0.0
2026-04-20 22:30:00+00:00,0.0,0.0,0.0
2026-04-20 22:40:00+00:00,0.0,0.0,0.0
2026-04-20 22:50:00+00:00,0.0,0.0,0.0
2026-04-20 23:00:00+00:00,0.0,0.0,0.0
2026-04-20 23:10:00+00:00,0.0,0.0,0.0
2026-04-20 23:20:00+00:00,0.0,0.0,0.0
2026-04-20 23:30:00+00:00,0.2,0.2,0.0
2026-04-20 23:40:00+00:00,0.0,0.0,0.0
2026-04-20 23:50:00+00:00,0.0,0.0,0.0
2026-04-21 00:00:00+00:00,0.0,0.0,0.0
2026-04-21 00:10:00+00:00,0.0,0.0,0.0
2026-04-21 00:20:00+00:00,0.0,0.0,0.0
2026-04-21 00:30:00+00:00,0.0,0.0,0.0
2026-04-21 00:40:00+00:00,0.0,0.0,0.0
2026-04-21 00:50:00+00:00,0.0,0.0,0.0
2026-04-21 01:00:00+00:00,0.0,0.0,0.0
2026-04-21 01:10:00+00:00,0.0,0.0,0.0
2026-04-21 01:20:00+00:00,0.0,0.0,0.0
2026-04-21 01:30:00+00:00,0.2,0.2,0.0
2026-04-21 01:40:00+00:00,0.0,0.0,0.0
2026-04-21 01:50:00+00:00,0.0,0.0,0.0
2026-04-21 02:00:00+00:00,0.0,0.0,0.0
2026-04-21 02:10:00+00:00,0.0,0.0,0.0
2026-04-21 02:20:00+00:00,0.0,0.0,0.0
2026-04-21 02:30:00+00:00,0.0,0.0,0.0
2026-04-21 02:40:00+00:00,0.0,0.0,0.0
2026-04-21 02:50:00+00:00,0.2,0.2,0.0
2026-04-21 03:00:00+00:00,0.0,0.0,0.0
2026-04-21 03:10:00+00:00,0.0,0.0,0.0
2026-04-21 03:20:00+00:00,0.0,0.0,0.0
2026-04-21 03:30:00+00:00,0.0,0.0,0.0
2026-04-21 03:40:00+00:00,34.4,34.4,0.0
2026-04-21 03:50:00+00:00,134.2,134.2,0.0
2026-04-21 04:00:00+00:00,86.0,86.0,0.0
2026-04-21 04:10:00+00:00,133.6,125.4,8.2
2026-04-21 04:20:00+00:00,291.6,291.4,0.2
2026-04-21 04:30:00+00:00,77.2,76.8,0.4
2026-04-21 04:40:00+00:00,1.6,1.6,0.0
2026-04-21 04:50:00+00:00,27.6,18.2,9.4
2026-04-21 05:00:00+00:00,24.6,24.6,0.0
2026-04-21 05:10:00+00:00,42.2,38.8,3.4
2026-04-21 05:20:00+00:00,0.0,0.0,0.0
2026-04-21 05:30:00+00:00,0.0,0.0,0.0
2026-04-21 05:40:00+00:00,8.8,8.8,0.0
2026-04-21 05:50:00+00:00,9.8,9.8,0.0
2026-04-21 06:00:00+00:00,0.0,0.0,0.0
2026-04-21 06:10:00+00:00,0.0,0.0,0.0
2026-04-21 06:20:00+00:00,3.0,3.0,0.0
2026-04-21 06:30:00+00:00,0.2,0.2,0.0
2026-04-21 06:40:00+00:00,10.2,10.2,0.0
2026-04-21 06:50:00+00:00,169.6,169.0,0.6
2026-04-21 07:00:00+00:00,108.0,107.6,0.4
2026-04-21 07:10:00+00:00,80.2,80.2,0.0
2026-04-21 07:20:00+00:00,69.4,69.4,0.0
2026-04-21 07:30:00+00:00,26.4,26.4,0.0
2026-04-21 07:40:00+00:00,48.4,48.4,0.0
2026-04-21 07:50:00+00:00,136.6,136.6,0.0
2026-04-21 08:00:00+00:00,122.0,122.0,0.0
2026-04-21 08:10:00+00:00,103.6,103.6,0.0
2026-04-21 08:20:00+00:00,69.8,68.2,1.6
2026-04-21 08:30:00+00:00,58.2,58.2,0.0
2026-04-21 08:40:00+00:00,31.8,31.8,0.0
2026-04-21 08:50:00+00:00,87.6,87.0,0.6
2026-04-21 09:00:00+00:00,64.6,64.6,0.0
2026-04-21 09:10:00+00:00,104.6,104.4,0.2
2026-04-21 09:20:00+00:00,38.8,38.8,0.0
2026-04-21 09:30:00+00:00,198.2,197.8,0.4
2026-04-21 09:40:00+00:00,358.2,352.2,6.0
2026-04-21 09:50:00+00:00,163.4,163.0,0.4
2026-04-21 10:00:00+00:00,132.0,122.4,9.6
2026-04-21 10:10:00+00:00,92.2,92.2,0.0
2026-04-21 10:20:00+00:00,122.8,122.6,0.2
2026-04-21 10:30:00+00:00,80.8,80.8,0.0
2026-04-21 10:40:00+00:00,151.8,151.6,0.2
2026-04-21 10:50:00+00:00,42.6,42.6,0.0
