date_and_time_UTC,callrate,LFcallrate,HFcallrate
2026-05-04 22:10:00+00:00,0.0,0.0,0.0
2026-05-04 22:20:00+00:00,0.0,0.0,0.0
2026-05-04 22:30:00+00:00,0.0,0.0,0.0
2026-05-04 22:40:00+00:00,0.0,0.0,0.0
2026-05-04 22:50:00+00:00,0.0,0.0,0.0
2026-05-04 23:00:00+00:00,0.0,0.0,0.0
2026-05-04 23:10:00+00:00,0.0,0.0,0.0
2026-05-04 23:20:00+00:00,0.0,0.0,0.0
2026-05-04 23:30:00+00:00,0.0,0.0,0.0
2026-05-04 23:40:00+00:00,0.0,0.0,0.0
2026-05-04 23:50:00+00:00,0.0,0.0,0.0
2026-05-05 00:00:00+00:00,0.2,0.2,0.0
2026-05-05 00:10:00+00:00,0.0,0.0,0.0
2026-05-05 00:20:00+00:00,0.0,0.0,0.0
2026-05-05 00:30:00+00:00,0.0,0.0,0.0
2026-05-05 00:40:00+00:00,0.0,0.0,0.0
2026-05-05 00:50:00+00:00,0.0,0.0,0.0
2026-05-05 01:00:00+00:00,0.0,0.0,0.0
2026-05-05 01:10:00+00:00,0.0,0.0,0.0
2026-05-05 01:20:00+00:00,0.0,0.0,0.0
2026-05-05 01:30:00+00:00,0.0,0.0,0.0
2026-05-05 01:40:00+00:00,0.0,0.0,0.0
2026-05-05 01:50:00+00:00,0.0,0.0,0.0
2026-05-05 02:00:00+00:00,0.0,0.0,0.0
2026-05-05 02:10:00+00:00,0.0,0.0,0.0
2026-05-05 02:20:00+00:00,0.0,0.0,0.0
2026-05-05 02:30:00+00:00,0.0,0.0,0.0
2026-05-05 02:40:00+00:00,0.0,0.0,0.0
2026-05-05 02:50:00+00:00,0.0,0.0,0.0
2026-05-05 03:00:00+00:00,0.0,0.0,0.0
2026-05-05 03:10:00+00:00,0.0,0.0,0.0
2026-05-05 03:20:00+00:00,0.0,0.0,0.0
2026-05-05 03:30:00+00:00,0.0,0.0,0.0
2026-05-05 03:40:00+00:00,0.0,0.0,0.0
2026-05-05 03:50:00+00:00,188.6,187.4,1.2
2026-05-05 04:00:00+00:00,94.0,92.2,1.8
2026-05-05 04:10:00+00:00,30.0,26.2,3.8
2026-05-05 04:20:00+00:00,5.0,5.0,0.0
2026-05-05 04:30:00+00:00,28.6,0.0,28.6
2026-05-05 04:40:00+00:00,22.0,0.0,22.0
2026-05-05 04:50:00+00:00,9.0,2.2,6.8
2026-05-05 05:00:00+00:00,58.4,0.4,58.0
2026-05-05 05:10:00+00:00,10.6,0.2,10.4
2026-05-05 05:20:00+00:00,6.8,2.8,4.0
2026-05-05 05:30:00+00:00,35.8,5.4,30.4
2026-05-05 05:40:00+00:00,35.4,7.4,28.0
2026-05-05 05:50:00+00:00,98.0,2.0,96.0
2026-05-05 06:00:00+00:00,127.4,1.2,126.2
2026-05-05 06:10:00+00:00,98.4,2.4,96.0
2026-05-05 06:20:00+00:00,82.2,5.0,77.2
2026-05-05 06:30:00+00:00,104.4,6.6,97.8
2026-05-05 06:40:00+00:00,194.0,1.2,192.8
