KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,65280.0,7.875904305297413,9.9065,9.9163,60703.0,65391.0,Pipistrellus pygmaeus,0.307,0.327,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
HF,65280.0,1.5248564446543869,14.2935,14.3009,59843.0,64120.0,Pipistrellus pygmaeus,0.292,0.309,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
HF,65280.0,1.3880251081558566,14.8865,14.9061,61562.0,68415.0,Pipistrellus pygmaeus,0.312,0.323,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
HF,65280.0,-0.18102117596053507,16.5895,16.6038,63281.0,68813.0,Pipistrellus pygmaeus,0.365,0.379,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
LF,23040.0,0.11104615925188283,31.2225,31.2389,22031.0,25925.0,Nyctalus leisleri,0.291,0.381,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
LF,23040.0,5.235130848257201,58.204499999999996,58.222,22890.0,25448.0,Nyctalus leisleri,0.393,0.425,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
HF,65280.0,1.347495435839183,59.454499999999996,59.4675,65000.0,71080.0,Pipistrellus pygmaeus,0.303,0.306,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
HF,65280.0,-4.184553061413851,61.4545,61.4685,62421.0,67195.0,Pipistrellus pygmaeus,0.314,0.326,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
HF,43200.0,6.719399345334569,65.23949999999999,65.2476,41796.0,44640.0,Pipistrellus pipistrellus,0.315,0.326,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
HF,48960.0,12.439813883397768,109.3225,109.3352,47812.0,51392.0,Pipistrellus pipistrellus,0.304,0.354,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
LF,19200.0,9.815784754936217,121.5055,121.5304,16875.0,19253.0,Nyctalus leisleri,0.166,0.317,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
LF,22080.0,8.941329528879958,144.8675,144.8879,21171.0,24004.0,Nyctalus leisleri,0.289,0.31,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
LF,19200.0,9.864973869490706,145.8695,145.8947,17734.0,20201.0,Nyctalus noctula,0.256,0.331,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
HF,48960.0,9.649386291425268,162.8695,162.8832,47812.0,51170.0,Pipistrellus pipistrellus,0.275,0.301,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
LF,24000.0,9.767062978858611,185.6065,185.6181,23750.0,28211.0,Nyctalus leisleri,0.517,0.58,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
LF,23040.0,5.942891226166798,217.0765,217.08859999999999,22890.0,27446.0,Nyctalus leisleri,0.362,0.461,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_185000.WAV,recover-20260724,UBNA_029,Central Pond
LF,25920.0,-5.023728437716884,83.3685,83.3841,25468.0,29492.0,Nyctalus leisleri,0.239,0.327,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_191000.WAV,recover-20260724,UBNA_029,Central Pond
LF,19200.0,-7.602571627908315,83.6105,83.6362,18593.0,22006.0,Nyctalus noctula,0.217,0.319,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260724/UBNA_029/20260708_191000.WAV,recover-20260724,UBNA_029,Central Pond
