KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,65280.0,4.094473068326135,9.6175,9.6341,56406.0,64500.0,Pipistrellus pygmaeus,0.209,0.348,-1,Echolocation,192000.0,/mnt/ubna_data_08/recover-20260805/UBNA_027/20260724_173000.WAV,recover-20260805,UBNA_027,E18 Bridge
LF,32640.0,0.4862363730562222,12.6435,12.6473,17734.0,35632.0,Plecotus austriacus,0.185,0.306,-1,Echolocation,192000.0,/mnt/ubna_data_08/recover-20260805/UBNA_027/20260724_173000.WAV,recover-20260805,UBNA_027,E18 Bridge
HF,46080.0,-2.127164809431758,110.8165,110.8263,44375.0,47640.0,Pipistrellus pipistrellus,0.261,0.371,-1,Echolocation,192000.0,/mnt/ubna_data_08/recover-20260805/UBNA_027/20260724_173000.WAV,recover-20260805,UBNA_027,E18 Bridge
LF,22080.0,1.6846228041794942,139.1755,139.1986,21171.0,22794.0,Nyctalus leisleri,0.308,0.324,-1,Echolocation,192000.0,/mnt/ubna_data_08/recover-20260805/UBNA_027/20260724_173000.WAV,recover-20260805,UBNA_027,E18 Bridge
LF,32640.0,0.6530706848548201,140.4235,140.4338,22031.0,29790.0,Nyctalus noctula,0.129,0.316,-1,Echolocation,192000.0,/mnt/ubna_data_08/recover-20260805/UBNA_027/20260724_173000.WAV,recover-20260805,UBNA_027,E18 Bridge
HF,65280.0,-0.9048076183173348,187.4615,187.4745,62421.0,68173.0,Pipistrellus pipistrellus,0.209,0.353,-1,Echolocation,192000.0,/mnt/ubna_data_08/recover-20260805/UBNA_027/20260724_173000.WAV,recover-20260805,UBNA_027,E18 Bridge
LF,32640.0,-1.38301301753071,190.8105,190.823,23750.0,28744.0,Nyctalus leisleri,0.164,0.311,-1,Echolocation,192000.0,/mnt/ubna_data_08/recover-20260805/UBNA_027/20260724_173000.WAV,recover-20260805,UBNA_027,E18 Bridge
HF,65280.0,-0.8238468930755942,204.2605,204.27100000000002,63281.0,67562.0,Pipistrellus pygmaeus,0.336,0.377,-1,Echolocation,192000.0,/mnt/ubna_data_08/recover-20260805/UBNA_027/20260724_173000.WAV,recover-20260805,UBNA_027,E18 Bridge
LF,24000.0,9.05394196949265,103.2685,103.2838,23750.0,27670.0,Nyctalus leisleri,0.382,0.45,-1,Echolocation,192000.0,/mnt/ubna_data_08/recover-20260805/UBNA_027/20260724_174000.WAV,recover-20260805,UBNA_027,E18 Bridge
LF,27840.0,2.736712227574594,179.9195,179.9322,27187.0,31791.0,Nyctalus leisleri,0.192,0.347,-1,Echolocation,192000.0,/mnt/ubna_data_08/recover-20260805/UBNA_027/20260724_174000.WAV,recover-20260805,UBNA_027,E18 Bridge
