Time (UTC),08/05/26,08/06/26,08/07/26,08/08/26,08/09/26,08/10/26,08/11/26,08/12/26,08/13/26
00:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
03:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00,,9.266666666666667,1.8,0.0,1.8,0.0,0.13333333333333333,0.19999999999999998,0.0
04:30,,0.13333333333333333,2.066666666666667,0.13333333333333333,96.26666666666667,0.0,0.06666666666666667,0.06666666666666667,1.9333333333333333
05:00,,1.2,0.4000000000000001,0.0,1.8,2.733333333333333,0.0,0.0,
05:30,,1.1333333333333333,0.0,0.0,0.06666666666666667,0.3333333333333333,3.6666666666666665,2.1999999999999997,
06:00,,2.6,0.06666666666666667,3.1333333333333333,0.13333333333333333,0.0,0.0,5.8,
06:30,,0.13333333333333333,0.0,0.0,0.0,1.1333333333333333,0.0,0.7999999999999999,
07:00,,3.6666666666666665,1.7333333333333334,3.6666666666666665,0.6,0.13333333333333333,0.0,3.1333333333333333,
07:30,,0.0,0.0,0.0,0.0,0.0,1.8,0.06666666666666667,
08:00,,0.19999999999999998,0.0,0.0,0.6,0.0,0.13333333333333333,0.0,
08:30,,0.0,0.0,0.0,0.0,0.0,0.0,3.1333333333333333,
09:00,,0.06666666666666667,2.7999999999999994,0.0,0.0,0.0,0.0,0.0,
09:30,,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.0,
10:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,
11:00,,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,1.0,
11:30,,6.0,0.0,0.0,0.0,0.0,3.6,0.0,
12:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,
12:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:30,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:00,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,
22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
